id,title,description,"google product category",product_type,link,"image link",condition,availability,price,"sale price",brand,gtin,gender,color,size,"size type","item group id"
142543,"Mens Squam Lake All Over Print Cargo Shorts","|Twill All Over Print |Fabric Composition: 100% Cotton |6 Pocket: Front 2 Chino Style / 2 Cargo Pockets / 2 Back Flap Pockets |Fly Zip Design |Straight Fit |Feature: Internal Chambray Facing On Waistband, Timberland Internal Pocket Stamp, Waistband Adjuster, All Over Print","Apparel & Accessories > Clothing > Shorts",BOTTOMS,http://shop.timberland.com.sg/men-s-squam-lake-all-over-print-cargo-shorts-0a1n11-capers-print-38-190542713299.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1N11E26_thumb01.jpg
",new,"in stock",119.00,,Timberland,190542713299,men,"Capers Print",380|0OS,Regular,0A1N11
142561,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-medium-grey-heather-small-190542726091.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N052_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726091,men,"Medium Grey Heather",00S|0OS,Regular,0A1S2N
142562,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-medium-grey-heather-medium-190542726114.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N052_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726114,men,"Medium Grey Heather",00M|0OS,Regular,0A1S2N
142563,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-medium-grey-heather-large-190542726138.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N052_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726138,men,"Medium Grey Heather",00L|0OS,Regular,0A1S2N
142564,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-medium-grey-heather-x-large-190542726152.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N052_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726152,men,"Medium Grey Heather",0XL|0OS,Regular,0A1S2N
142567,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-x-small-190542726213.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726213,men,"Darkest Spruce",0XS|0OS,Regular,0A1S2N
142568,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-small-190542726237.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726237,men,"Darkest Spruce",00S|0OS,Regular,0A1S2N
142570,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-medium-190542726275.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726275,men,"Darkest Spruce",00M|0OS,Regular,0A1S2N
142573,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-dark-sapphire-medium-190542726329.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2N433_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726329,men,"Dark Sapphire",00M|0OS,Regular,0A1S2N
142574,"Mens Millers River Pique Regular Short Sleeve Polo","|Pique Piece Dye Design   |Fabric Composition: 100% Organic Cotton   |Weight: 275 grams |Tree Embroidery Branding In Contrast Design |Regular Fit |Laid On Placket |Neutral Back Neck Tape","Apparel & Accessories > Clothing > Shirts & Tops > T-Shirts",TOPS,http://shop.timberland.com.sg/men-s-millers-river-pique-regular-short-sleeve-polo-0a1s2n-darkest-spruce-large-190542726336.html,"http://timberlandsgcdn.specom.net/catalog/product/large_image/TB0A1S2NE20_thumb01.jpg
",new,"in stock",99.00,,Timberland,190542726336,men,"Darkest Spruce",00L|0OS,Regular,0A1S2N
